;question_id;question_text;question_type;answer_0;answer_1;answer_2;answer_3;answer_4;answer_5;answer_6;answer_7;answer_8;answer_9;answer_10;answer_11;answer_12;answer_13;answer_14;answer_15;answer_16;answer_17;answer_18;answer_19;answer_20;answer_21;answer_22;answer_23;answer_24;answer_25;answer_26;answer_27;answer_28;answer_29;answer_30;answer_31;answer_32;answer_33;answer_34;answer_35;answer_36;answer_37;answer_38;answer_39;answer_40;answer_41;answer_42;answer_43;answer_44;answer_45;answer_46;answer_47;answer_48;answer_49;answer_50;answer_51;answer_52;answer_53
0;20;How do you verify and/or validate your requirements?;checkbox;Inspection (formal technical reviews using reading techniques or checklists);Walkthroughs;Informal peer reviews;Simulations;Automatic checking;We do not verify and/or validate our requirements documentation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;11;What is the reason for your satisfaction with your projects?;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;17;Which techniques do you use for your requirements elicitation?;checkbox;Interviews;Analysis of existing documents;Risk analyses;Prototyping;Workshops and focus groups;(Requirements) Reuse database and guidelines;Design Thinking/Lean Startup;External experts;Observations/Ethnography;Brainstorming;We do not elicit requirements (ourselves);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;12;In your experience, how many of the requirements you elicit in the beginning end up in the final product on average?;radiogroup;0-20%;21-40%;41-60%;61-80%;81-100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;10;In your opinion, how satisfied are you in general with the projects you have carried out yourself?;radiogroup;Very Satisfied;Satisfied;Neutral;Unsatisfied;Very unsatisfied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;18;How do you document requirements?;checkbox;Use cases;Natural language/informal (plain) text;Structured list of requirements;User stories;Use case diagrams;Activity diagrams;Class diagrams;Sequence diagrams;State machines;Goal models;Business process models;Prototypes/User screens;Sketches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2;Please select the class of systems or services you work on in the context of your project.;radiogroup;Software-intensive embedded systems;Business information systems;Hybrid of both software-intensive embedded systems and business;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;15;If you have changed your current work practices recently, why did you change it?;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;13;How long have you been applying your current work practices without having made a major transformation?;radiogroup;up to 1 year;1 to 5 years;6 to 10 years;11 to 20 years;more than 20 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;21;How do you align software testing with the requirements?;checkbox;Testers participate in requirements reviews.;We check the coverage of requirements with tests.;We define acceptance criteria and tests for requirements.;We derive tests from system models.;We do not align tests and requirements.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;5;How would you describe the ratio between the scope of your projects with the amount of projects in a year?;radiogroup;Few projects with a large scope;A couple of projects with a medium scope;High number of projects with small scope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;19;How do you make use of the documented requirements?;checkbox;They are the basis for the implementation.;They are source for tests.;They are used in customer acceptance.;They are part of the contract.;They are a reminder for further discussions with the customer, product owner, and/or other team members.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;8;In your opinion, how satisfied are your clients in general with the projects you carry out with them?;radiogroup;Very Satisfied;Satisfied;Neutral;Unsatisfied;Very unsatisfied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;6;What is the main role you occupy within your projects?;radiogroup;Business Analyst;Requirements Engineer;Project Lead/Project Manager;Scrum Master;Product Manager;Product Owner;Test Manager/Tester;Architect;Developer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;16;How would you personally characterise your way of working in your project?;radiogroup;Rather agile;Hybrid;Rather plan-driven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4;Are there quality attributes which are of particularly high importance for your development project? ;checkbox;Compatibility (e.g., co-existence, interoperability);Maintainability (e.g., analysability, modularity, modifiability, reusability, testability);Performance efficiency (e.g., time behavior, resource utilisation, capacity);Portability (e.g., adaptability, installability, replaceability);Reliability (e.g., availability, fault tolerance, maturity, recoberability);Security (e.g., accountability, authenticity, confidentiality, integrity, non-repudiation);Safety (e.g. freedom of risk for health or distaster);Usability (e.g., accessibility, appropriateness recognizability learnability, operability, user error protection, user interface aesthetics);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;23;From your personal experience, which of the following are the most critical problems in requirements engineering that apply to your projects?;cause-problem-effect;PROBLEM_Communication flaws between the project and the customer;PROBLEM_Communication flaws within the project team;PROBLEM_Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;PROBLEM_Gold plating (implementation of features without corresponding requirements);PROBLEM_Incomplete or hidden requirements;PROBLEM_Inconsistent requirements;PROBLEM_Insufficient support by customer;PROBLEM_Insufficient support by project lead;PROBLEM_Missing traceability;PROBLEM_Moving targets (changing goals, business processes and/or requirements);PROBLEM_Stakeholders with difficulties in separating requirements from previously known solution designs;PROBLEM_Technically unfeasible requirements;PROBLEM_Terminological problems;PROBLEM_Time boxing/Not enough time in general;PROBLEM_Unclear/unmeasurable non-functional requirements;PROBLEM_Underspecified requirements that are too abstract and allow for various interpretations;PROBLEM_Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;PROBLEM_Weak access to customer needs and/or (internal) business information;PROBLEM_Weak knowledge about customer's application domain;PROBLEM_Weak relationship between customer and project lead;CAUSE_Changing project characteristics;CAUSE_Communication Problems;CAUSE_High complexity of projects;CAUSE_Human factors;CAUSE_Insufficient development process;CAUSE_Lack of common understanding about goals;CAUSE_Lack of communication channels;CAUSE_Lack of creativity;CAUSE_Lack of engagement;CAUSE_Lack of involvement from the customer;CAUSE_Lack of involvement within the team;CAUSE_Lack of knowledge;CAUSE_Lack of management;CAUSE_Lack of requirements engineering awareness;CAUSE_Moving targets;CAUSE_Process execution defects;EFFECT_Team conflicts;EFFECT_Customer conflicts;EFFECT_Customer dissatisfaction;EFFECT_Decreased business value;EFFECT_Decreased efficiency;EFFECT_Decreased manageability;EFFECT_General overrun of project ressources;EFFECT_Incomplete non-functional requirements;EFFECT_Incomplete Requirements;EFFECT_Increase in communication problems;EFFECT_Increased complexity;EFFECT_Lack of innovation;EFFECT_Overall demotivation at project level;EFFECT_Poor product quality;EFFECT_Poor requirements quality;EFFECT_Requirements cannot be validated;EFFECT_Budget overrun;EFFECT_Time overrun
17;1;Please select the main industrial sector of your project and the application domain of the software you build.;radiogroup;Agriculture;Automotive;Finance;Healthcare;Security;Manufacturing;Energy;Logistics;Railway;Avionics;Insurance;Education;Public sector;Enterprise resource planning;Human resources;e-Government;Telecommunication;Games engineering;Public transportation;e-Commerce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;22;Which classes of non-functional requirements do you explicitly consider in your requirements documentation?;checkbox;Compatibility (e.g., co-existence, interoperability);Maintainability (e.g., analysability, modularity, modifiability, reusability, testability);Performance efficiency (e.g., time behavior, resource utilisation, capacity);Portability (e.g., adaptability, installability, replaceability);Reliability (e.g., availability, fault tolerance, maturity, recoverability);Security (e.g., accountability, authenticity, confidentiality, integrity, non-repudiation);Safety (e.g. freedom of risk for health or distaster);Usability (e.g., accessibility, appropriateness recognizability, learnability, operability, user error protection, user interface aesthetics);We do not consider non-functional requirements for documentation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;3;In average, how many people are typically involved in your projects?;radiogroup;1 to 5;6 to 10;11 to 20;21 to 50;more than 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;14;If you have changed your current work practices recently (in the past 5 years), how would they rate the impact on success on your projects?;radiogroup;No recent change;Positive impact;No impact;Negative impact;Both negative and positive impact;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;9;What is the reason for this level of satisfaction of your client?;text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;7;How many years of industrial experience do you have in this role?;radiogroup;up to 1 year;1 to 5 years;6 to 10 years;11 to 20 years;more than 20 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
